vgs	d(Id(M1))
Step Information: Ln=180n  (Run: 1/5)
0.000000000000000e+000	4.166667e-006
1.500000000000000e-002	8.333334e-006
3.000000000000000e-002	1.666667e-005
4.500000000000000e-002	2.500000e-005
6.000000000000000e-002	3.333333e-005
7.500000000000000e-002	4.166667e-005
9.000000000000000e-002	5.000000e-005
1.050000000000000e-001	5.833333e-005
1.200000000000000e-001	6.666667e-005
1.350000000000000e-001	7.500000e-005
1.500000000000000e-001	8.333333e-005
1.650000000000000e-001	9.166668e-005
1.800000000000001e-001	1.000000e-004
1.950000000000001e-001	1.083333e-004
2.100000000000001e-001	1.166666e-004
2.250000000000001e-001	1.250000e-004
2.400000000000001e-001	1.333333e-004
2.550000000000001e-001	1.416667e-004
2.700000000000001e-001	1.500001e-004
2.850000000000001e-001	1.583333e-004
3.000000000000002e-001	1.666667e-004
3.150000000000002e-001	1.750000e-004
3.300000000000002e-001	1.833333e-004
3.450000000000002e-001	1.916667e-004
3.600000000000002e-001	2.000001e-004
3.750000000000002e-001	2.083333e-004
3.900000000000002e-001	2.166666e-004
4.050000000000003e-001	2.250000e-004
4.200000000000003e-001	2.333333e-004
4.350000000000003e-001	2.416667e-004
4.500000000000003e-001	2.500001e-004
4.650000000000003e-001	2.583332e-004
4.800000000000003e-001	2.666666e-004
4.950000000000003e-001	2.750002e-004
5.100000000000003e-001	2.833333e-004
5.250000000000004e-001	2.916665e-004
5.400000000000004e-001	3.000001e-004
5.550000000000004e-001	3.083335e-004
5.700000000000004e-001	3.166667e-004
5.850000000000004e-001	3.250000e-004
6.000000000000004e-001	3.333332e-004
6.150000000000004e-001	3.416666e-004
6.300000000000005e-001	3.500000e-004
6.450000000000005e-001	3.583334e-004
6.600000000000005e-001	3.666668e-004
6.750000000000005e-001	3.749999e-004
6.900000000000005e-001	3.833333e-004
7.050000000000005e-001	3.916667e-004
7.200000000000005e-001	4.000001e-004
7.350000000000005e-001	4.083330e-004
7.500000000000006e-001	4.166664e-004
7.650000000000006e-001	4.250003e-004
7.800000000000006e-001	4.333332e-004
7.950000000000006e-001	4.416666e-004
8.100000000000006e-001	4.500000e-004
8.250000000000006e-001	4.583334e-004
8.400000000000006e-001	4.666668e-004
8.550000000000007e-001	4.749997e-004
8.700000000000007e-001	4.833331e-004
8.850000000000007e-001	4.916665e-004
9.000000000000007e-001	4.979166e-004
9.150000000000007e-001	5.000004e-004
9.300000000000007e-001	4.999999e-004
9.450000000000007e-001	4.999994e-004
9.600000000000007e-001	4.999999e-004
9.750000000000008e-001	4.999999e-004
9.900000000000008e-001	4.999999e-004
1.005000000000001e+000	4.999999e-004
1.020000000000001e+000	5.000009e-004
1.035000000000001e+000	5.000009e-004
1.050000000000001e+000	4.999999e-004
1.065000000000000e+000	4.999999e-004
1.080000000000000e+000	4.999999e-004
1.095000000000000e+000	4.999999e-004
1.110000000000000e+000	4.999999e-004
1.125000000000000e+000	4.999999e-004
1.140000000000000e+000	4.999999e-004
1.155000000000000e+000	4.999999e-004
1.170000000000000e+000	4.999999e-004
1.185000000000000e+000	4.999999e-004
1.200000000000000e+000	4.999999e-004
1.214999999999999e+000	4.999999e-004
1.229999999999999e+000	4.999999e-004
1.244999999999999e+000	4.999999e-004
1.259999999999999e+000	4.999999e-004
1.274999999999999e+000	4.999999e-004
1.289999999999999e+000	4.999999e-004
1.304999999999999e+000	4.999999e-004
1.319999999999999e+000	4.999999e-004
1.334999999999999e+000	4.999999e-004
1.349999999999999e+000	4.999999e-004
1.364999999999998e+000	4.999999e-004
1.379999999999998e+000	4.999999e-004
1.394999999999998e+000	4.999999e-004
1.409999999999998e+000	5.000009e-004
1.424999999999998e+000	4.999999e-004
1.439999999999998e+000	4.999990e-004
1.454999999999998e+000	4.999999e-004
1.469999999999998e+000	4.999999e-004
1.484999999999998e+000	4.999999e-004
1.499999999999998e+000	4.999999e-004
1.514999999999998e+000	4.999999e-004
1.529999999999997e+000	4.999999e-004
1.544999999999997e+000	4.999999e-004
1.559999999999997e+000	4.999999e-004
1.574999999999997e+000	4.999999e-004
1.589999999999997e+000	4.999999e-004
1.604999999999997e+000	5.000019e-004
1.619999999999997e+000	5.000019e-004
1.634999999999997e+000	4.999999e-004
1.649999999999997e+000	4.999999e-004
1.664999999999997e+000	4.999999e-004
1.679999999999996e+000	4.999999e-004
1.694999999999996e+000	4.999999e-004
1.709999999999996e+000	4.999999e-004
1.724999999999996e+000	4.999999e-004
1.739999999999996e+000	4.999999e-004
1.754999999999996e+000	4.999999e-004
1.769999999999996e+000	4.999999e-004
1.784999999999996e+000	4.999999e-004
1.800000000000000e+000	4.999999e-004
Step Information: Ln=360n  (Run: 2/5)
0.000000000000000e+000	2.083333e-006
1.500000000000000e-002	4.166666e-006
3.000000000000000e-002	8.333333e-006
4.500000000000000e-002	1.250000e-005
6.000000000000000e-002	1.666667e-005
7.500000000000000e-002	2.083333e-005
9.000000000000000e-002	2.500000e-005
1.050000000000000e-001	2.916667e-005
1.200000000000000e-001	3.333333e-005
1.350000000000000e-001	3.750000e-005
1.500000000000000e-001	4.166667e-005
1.650000000000000e-001	4.583334e-005
1.800000000000001e-001	5.000001e-005
1.950000000000001e-001	5.416665e-005
2.100000000000001e-001	5.833332e-005
2.250000000000001e-001	6.250001e-005
2.400000000000001e-001	6.666666e-005
2.550000000000001e-001	7.083333e-005
2.700000000000001e-001	7.500003e-005
2.850000000000001e-001	7.916666e-005
3.000000000000002e-001	8.333333e-005
3.150000000000002e-001	8.750000e-005
3.300000000000002e-001	9.166667e-005
