vgs	d(Id(M1))/Id(M1)
2.000000000000000e-001	2.760062e+001
2.010000000000000e-001	2.722671e+001
2.020000000000000e-001	2.722041e+001
2.030000000000000e-001	2.721409e+001
2.040000000000000e-001	2.720769e+001
2.050000000000000e-001	2.720114e+001
2.060000000000000e-001	2.719455e+001
2.070000000000000e-001	2.718787e+001
2.080000000000000e-001	2.718108e+001
2.090000000000000e-001	2.717428e+001
2.100000000000000e-001	2.716732e+001
2.110000000000000e-001	2.716028e+001
2.120000000000000e-001	2.715320e+001
2.130000000000000e-001	2.714600e+001
2.140000000000000e-001	2.713873e+001
2.150000000000000e-001	2.713134e+001
2.160000000000000e-001	2.712387e+001
2.170000000000000e-001	2.711633e+001
2.180000000000000e-001	2.710866e+001
2.190000000000000e-001	2.710093e+001
2.200000000000000e-001	2.709310e+001
2.210000000000000e-001	2.708517e+001
2.220000000000000e-001	2.707717e+001
2.230000000000000e-001	2.706906e+001
2.240000000000000e-001	2.706086e+001
2.250000000000000e-001	2.705254e+001
2.260000000000000e-001	2.704414e+001
2.270000000000000e-001	2.703568e+001
2.280000000000000e-001	2.702705e+001
2.290000000000000e-001	2.701836e+001
2.300000000000000e-001	2.700957e+001
2.310000000000000e-001	2.700067e+001
2.320000000000000e-001	2.699169e+001
2.330000000000000e-001	2.698259e+001
2.340000000000000e-001	2.697338e+001
2.350000000000000e-001	2.696408e+001
2.360000000000000e-001	2.695465e+001
2.370000000000000e-001	2.694515e+001
2.380000000000000e-001	2.693558e+001
2.390000000000001e-001	2.692584e+001
2.400000000000001e-001	2.691600e+001
2.410000000000001e-001	2.690606e+001
2.420000000000001e-001	2.689600e+001
2.430000000000001e-001	2.688587e+001
2.440000000000001e-001	2.687562e+001
2.450000000000001e-001	2.686524e+001
2.460000000000001e-001	2.685476e+001
2.470000000000001e-001	2.684418e+001
2.480000000000001e-001	2.683350e+001
2.490000000000001e-001	2.682266e+001
2.500000000000001e-001	2.681173e+001
2.510000000000001e-001	2.680073e+001
2.520000000000001e-001	2.678956e+001
2.530000000000001e-001	2.677828e+001
2.540000000000001e-001	2.676686e+001
2.550000000000001e-001	2.675539e+001
2.560000000000001e-001	2.674381e+001
2.570000000000001e-001	2.673209e+001
2.580000000000001e-001	2.672021e+001
2.590000000000001e-001	2.670825e+001
2.600000000000001e-001	2.669621e+001
2.610000000000001e-001	2.668397e+001
2.620000000000001e-001	2.667165e+001
2.630000000000001e-001	2.665926e+001
2.640000000000001e-001	2.664669e+001
2.650000000000001e-001	2.663402e+001
2.660000000000001e-001	2.662123e+001
2.670000000000001e-001	2.660831e+001
2.680000000000001e-001	2.659528e+001
2.690000000000001e-001	2.658212e+001
2.700000000000001e-001	2.656882e+001
2.710000000000001e-001	2.655544e+001
2.720000000000001e-001	2.654195e+001
2.730000000000001e-001	2.652829e+001
2.740000000000001e-001	2.651458e+001
2.750000000000001e-001	2.650066e+001
2.760000000000001e-001	2.648662e+001
2.770000000000001e-001	2.647255e+001
2.780000000000001e-001	2.645829e+001
2.790000000000001e-001	2.644392e+001
2.800000000000001e-001	2.642947e+001
2.810000000000001e-001	2.641486e+001
2.820000000000001e-001	2.640008e+001
2.830000000000001e-001	2.638523e+001
2.840000000000001e-001	2.637025e+001
2.850000000000001e-001	2.635515e+001
2.860000000000001e-001	2.633997e+001
2.870000000000001e-001	2.632461e+001
2.880000000000001e-001	2.630914e+001
2.890000000000001e-001	2.629356e+001
2.900000000000001e-001	2.627786e+001
2.910000000000001e-001	2.626204e+001
2.920000000000001e-001	2.624612e+001
2.930000000000001e-001	2.623006e+001
2.940000000000001e-001	2.621386e+001
2.950000000000001e-001	2.619759e+001
2.960000000000001e-001	2.618118e+001
2.970000000000001e-001	2.616465e+001
2.980000000000001e-001	2.614796e+001
2.990000000000001e-001	2.613121e+001
3.000000000000001e-001	2.611438e+001
3.010000000000001e-001	2.609740e+001
3.020000000000001e-001	2.608027e+001
3.030000000000001e-001	2.606308e+001
3.040000000000001e-001	2.604576e+001
3.050000000000001e-001	2.602830e+001
3.060000000000001e-001	2.601076e+001
3.070000000000001e-001	2.599309e+001
3.080000000000001e-001	2.597535e+001
3.090000000000001e-001	2.595753e+001
3.100000000000001e-001	2.593955e+001
3.110000000000001e-001	2.592142e+001
3.120000000000001e-001	2.590325e+001
3.130000000000001e-001	2.588502e+001
3.140000000000001e-001	2.586663e+001
3.150000000000001e-001	2.584811e+001
3.160000000000001e-001	2.582956e+001
3.170000000000001e-001	2.581090e+001
3.180000000000001e-001	2.579211e+001
3.190000000000001e-001	2.577325e+001
3.200000000000001e-001	2.575430e+001
3.210000000000001e-001	2.573525e+001
3.220000000000001e-001	2.571612e+001
3.230000000000001e-001	2.569692e+001
3.240000000000001e-001	2.567763e+001
3.250000000000001e-001	2.565823e+001
3.260000000000001e-001	2.563873e+001
3.270000000000001e-001	2.561918e+001
3.280000000000001e-001	2.559957e+001
3.290000000000001e-001	2.557987e+001
3.300000000000001e-001	2.556007e+001
