vgs	d(Id(M1))
Step Information: Ln=180n  (Run: 1/5)
2.000000000000000e-001	1.133333e-004
2.080000000000000e-001	1.155556e-004
2.160000000000000e-001	1.200000e-004
2.240000000000000e-001	1.244445e-004
2.320000000000000e-001	1.288889e-004
2.400000000000001e-001	1.333333e-004
2.480000000000001e-001	1.377778e-004
2.560000000000001e-001	1.422222e-004
2.640000000000001e-001	1.466667e-004
2.720000000000001e-001	1.511111e-004
2.800000000000001e-001	1.555555e-004
2.880000000000001e-001	1.600000e-004
2.960000000000001e-001	1.644445e-004
3.040000000000001e-001	1.688888e-004
3.120000000000001e-001	1.733333e-004
3.200000000000001e-001	1.777778e-004
3.280000000000001e-001	1.822223e-004
3.360000000000001e-001	1.866667e-004
3.440000000000001e-001	1.911110e-004
3.520000000000002e-001	1.955555e-004
3.600000000000002e-001	2.000002e-004
3.680000000000002e-001	2.044444e-004
3.760000000000002e-001	2.088889e-004
3.840000000000002e-001	2.133334e-004
3.920000000000002e-001	2.177776e-004
4.000000000000002e-001	2.222223e-004
4.080000000000002e-001	2.266668e-004
4.160000000000002e-001	2.311110e-004
4.240000000000002e-001	2.355555e-004
4.320000000000002e-001	2.400000e-004
4.400000000000002e-001	2.444444e-004
4.480000000000002e-001	2.488889e-004
4.560000000000002e-001	2.533334e-004
4.640000000000003e-001	2.577781e-004
4.720000000000003e-001	2.622221e-004
4.800000000000003e-001	2.666666e-004
4.880000000000003e-001	2.711113e-004
4.960000000000003e-001	2.755555e-004
5.040000000000002e-001	2.799998e-004
5.120000000000002e-001	2.844445e-004
5.200000000000002e-001	2.888892e-004
5.280000000000003e-001	2.933334e-004
5.360000000000003e-001	2.977777e-004
5.440000000000003e-001	3.022219e-004
5.520000000000003e-001	3.066666e-004
5.600000000000003e-001	3.111113e-004
5.680000000000003e-001	3.155556e-004
5.760000000000003e-001	3.199998e-004
5.840000000000003e-001	3.244445e-004
5.920000000000003e-001	3.288892e-004
6.000000000000003e-001	3.333334e-004
6.080000000000003e-001	3.377777e-004
6.160000000000003e-001	3.422219e-004
6.240000000000003e-001	3.466666e-004
6.320000000000003e-001	3.511113e-004
6.400000000000004e-001	3.555556e-004
6.480000000000004e-001	3.599998e-004
6.560000000000004e-001	3.644445e-004
6.640000000000004e-001	3.688888e-004
6.720000000000004e-001	3.733330e-004
6.800000000000004e-001	3.777777e-004
6.880000000000004e-001	3.822224e-004
6.960000000000004e-001	3.866671e-004
7.040000000000004e-001	3.911109e-004
7.120000000000004e-001	3.955556e-004
7.200000000000004e-001	4.000003e-004
7.280000000000004e-001	4.044441e-004
7.360000000000004e-001	4.088888e-004
7.440000000000004e-001	4.133335e-004
7.520000000000005e-001	4.177773e-004
7.600000000000005e-001	4.222220e-004
7.680000000000005e-001	4.266667e-004
7.760000000000005e-001	4.311114e-004
7.840000000000005e-001	4.355561e-004
7.920000000000005e-001	4.399999e-004
8.000000000000005e-001	4.444446e-004
8.080000000000005e-001	4.488893e-004
8.160000000000005e-001	4.533331e-004
8.240000000000005e-001	4.577778e-004
8.320000000000005e-001	4.622225e-004
8.400000000000005e-001	4.666663e-004
8.480000000000005e-001	4.711110e-004
8.560000000000005e-001	4.755557e-004
8.640000000000006e-001	4.799995e-004
8.720000000000006e-001	4.844442e-004
8.800000000000006e-001	4.888889e-004
8.880000000000006e-001	4.933336e-004
8.960000000000006e-001	4.975000e-004
9.040000000000006e-001	4.997219e-004
9.120000000000006e-001	5.000002e-004
9.200000000000006e-001	5.000002e-004
9.280000000000006e-001	5.000002e-004
9.360000000000006e-001	4.999993e-004
9.440000000000006e-001	4.999993e-004
9.520000000000006e-001	5.000002e-004
9.600000000000006e-001	5.000002e-004
9.680000000000006e-001	5.000002e-004
9.760000000000006e-001	5.000002e-004
9.840000000000007e-001	5.000002e-004
9.920000000000007e-001	5.000002e-004
1.000000000000000e+000	5.000002e-004
Step Information: Ln=360n  (Run: 2/5)
2.000000000000000e-001	5.666664e-005
2.080000000000000e-001	5.777778e-005
2.160000000000000e-001	6.000002e-005
2.240000000000000e-001	6.222220e-005
2.320000000000000e-001	6.444444e-005
2.400000000000001e-001	6.666670e-005
2.480000000000001e-001	6.888888e-005
2.560000000000001e-001	7.111112e-005
2.640000000000001e-001	7.333335e-005
2.720000000000001e-001	7.555553e-005
2.800000000000001e-001	7.777777e-005
2.880000000000001e-001	8.000001e-005
2.960000000000001e-001	8.222224e-005
3.040000000000001e-001	8.444442e-005
3.120000000000001e-001	8.666666e-005
3.200000000000001e-001	8.888890e-005
3.280000000000001e-001	9.111108e-005
3.360000000000001e-001	9.333331e-005
3.440000000000001e-001	9.555561e-005
3.520000000000002e-001	9.777784e-005
3.600000000000002e-001	9.999997e-005
3.680000000000002e-001	1.022222e-004
3.760000000000002e-001	1.044444e-004
3.840000000000002e-001	1.066667e-004
3.920000000000002e-001	1.088889e-004
4.000000000000002e-001	1.111110e-004
4.080000000000002e-001	1.133333e-004
4.160000000000002e-001	1.155556e-004
4.240000000000002e-001	1.177779e-004
4.320000000000002e-001	1.200000e-004
4.400000000000002e-001	1.222222e-004
4.480000000000002e-001	1.244445e-004
4.560000000000002e-001	1.266667e-004
4.640000000000003e-001	1.288889e-004
4.720000000000003e-001	1.311112e-004
4.800000000000003e-001	1.333333e-004
4.880000000000003e-001	1.355554e-004
4.960000000000003e-001	1.377778e-004
5.040000000000002e-001	1.400001e-004
5.120000000000002e-001	1.422222e-004
5.200000000000002e-001	1.444444e-004
5.280000000000003e-001	1.466667e-004
5.360000000000003e-001	1.488888e-004
5.440000000000003e-001	1.511112e-004
5.520000000000003e-001	1.533333e-004
5.600000000000003e-001	1.555554e-004
5.680000000000003e-001	1.577778e-004
5.760000000000003e-001	1.600001e-004
5.840000000000003e-001	1.622222e-004
5.920000000000003e-001	1.644444e-004
6.000000000000003e-001	1.666667e-004
6.080000000000003e-001	1.688888e-004
6.160000000000003e-001	1.711112e-004
6.240000000000003e-001	1.733333e-004
6.320000000000003e-001	1.755554e-004
6.400000000000004e-001	1.777778e-004
6.480000000000004e-001	1.800001e-004
6.560000000000004e-001	1.822223e-004
6.640000000000004e-001	1.844442e-004
6.720000000000004e-001	1.866665e-004
6.800000000000004e-001	1.888889e-004
6.880000000000004e-001	1.911112e-004
6.960000000000004e-001	1.933336e-004
7.040000000000004e-001	1.955555e-004
7.120000000000004e-001	1.977778e-004
7.200000000000004e-001	2.000002e-004
7.280000000000004e-001	2.022221e-004
7.360000000000004e-001	2.044444e-004
7.440000000000004e-001	2.066668e-004
7.520000000000005e-001	2.088891e-004
7.600000000000005e-001	2.111110e-004
7.680000000000005e-001	2.133329e-004
7.760000000000005e-001	2.155557e-004
7.840000000000005e-001	2.177781e-004
7.920000000000005e-001	2.199999e-004
8.000000000000005e-001	2.222223e-004
8.080000000000005e-001	2.244446e-004
8.160000000000005e-001	2.266665e-004
8.240000000000005e-001	2.288889e-004
8.320000000000005e-001	2.311112e-004
8.400000000000005e-001	2.333331e-004
8.480000000000005e-001	2.355555e-004
8.560000000000005e-001	2.377778e-004
8.640000000000006e-001	2.399997e-004
8.720000000000006e-001	2.422221e-004
8.800000000000006e-001	2.444444e-004
8.880000000000006e-001	2.466668e-004
8.960000000000006e-001	2.487500e-004
9.040000000000006e-001	2.498609e-004
9.120000000000006e-001	2.500001e-004
9.200000000000006e-001	2.500001e-004
9.280000000000006e-001	2.500001e-004
9.360000000000006e-001	2.500005e-004
9.440000000000006e-001	2.499996e-004
9.520000000000006e-001	2.499992e-004
9.600000000000006e-001	2.500001e-004
9.680000000000006e-001	2.500001e-004
9.760000000000006e-001	2.500001e-004
9.840000000000007e-001	2.500001e-004
9.920000000000007e-001	2.500001e-004
1.000000000000000e+000	2.500001e-004
Step Information: Ln=540n  (Run: 3/5)
2.000000000000000e-001	3.777777e-005
2.080000000000000e-001	3.851851e-005
2.160000000000000e-001	4.000000e-005
2.240000000000000e-001	4.148148e-005
2.320000000000000e-001	4.296297e-005
2.400000000000001e-001	4.444445e-005
2.480000000000001e-001	4.592593e-005
2.560000000000001e-001	4.740741e-005
2.640000000000001e-001	4.888889e-005
2.720000000000001e-001	5.037037e-005
2.800000000000001e-001	5.185183e-005
2.880000000000001e-001	5.333334e-005
2.960000000000001e-001	5.481485e-005
3.040000000000001e-001	5.629630e-005
3.120000000000001e-001	5.777775e-005
3.200000000000001e-001	5.925926e-005
3.280000000000001e-001	6.074077e-005
3.360000000000001e-001	6.222223e-005
3.440000000000001e-001	6.370368e-005
3.520000000000002e-001	6.518519e-005
3.600000000000002e-001	6.666664e-005
3.680000000000002e-001	6.814810e-005
3.760000000000002e-001	6.962966e-005
3.840000000000002e-001	7.111112e-005
3.920000000000002e-001	7.259257e-005
4.000000000000002e-001	7.407414e-005
4.080000000000002e-001	7.555553e-005
4.160000000000002e-001	7.703704e-005
4.240000000000002e-001	7.851850e-005
4.320000000000002e-001	7.999995e-005
4.400000000000002e-001	8.148152e-005
4.480000000000002e-001	8.296297e-005
4.560000000000002e-001	8.444442e-005
4.640000000000003e-001	8.592588e-005
4.720000000000003e-001	8.740744e-005
4.800000000000003e-001	8.888890e-005
4.880000000000003e-001	9.037035e-005
4.960000000000003e-001	9.185192e-005
5.040000000000002e-001	9.333337e-005
5.120000000000002e-001	9.481482e-005
5.200000000000002e-001	9.629628e-005
5.280000000000003e-001	9.777773e-005
5.360000000000003e-001	9.925930e-005
5.440000000000003e-001	1.007407e-004
5.520000000000003e-001	1.022222e-004
5.600000000000003e-001	1.037037e-004
5.680000000000003e-001	1.051852e-004
5.760000000000003e-001	1.066667e-004
5.840000000000003e-001	1.081480e-004
5.920000000000003e-001	1.096296e-004
6.000000000000003e-001	1.111111e-004
6.080000000000003e-001	1.125927e-004
6.160000000000003e-001	1.140741e-004
6.240000000000003e-001	1.155556e-004
6.320000000000003e-001	1.170372e-004
6.400000000000004e-001	1.185185e-004
6.480000000000004e-001	1.199999e-004
6.560000000000004e-001	1.214814e-004
6.640000000000004e-001	1.229630e-004
6.720000000000004e-001	1.244443e-004
6.800000000000004e-001	1.259259e-004
6.880000000000004e-001	1.274075e-004
6.960000000000004e-001	1.288888e-004
7.040000000000004e-001	1.303704e-004
7.120000000000004e-001	1.318519e-004
7.200000000000004e-001	1.333333e-004
7.280000000000004e-001	1.348149e-004
7.360000000000004e-001	1.362962e-004
7.440000000000004e-001	1.377778e-004
7.520000000000005e-001	1.392593e-004
7.600000000000005e-001	1.407407e-004
7.680000000000005e-001	1.422222e-004
7.760000000000005e-001	1.437038e-004
7.840000000000005e-001	1.451851e-004
7.920000000000005e-001	1.466667e-004
8.000000000000005e-001	1.481483e-004
