vgs	Id(M1)
Step Information: Ln=180n  (Run: 1/5)
2.000000000000000e-001	1.111111e-005
2.080000000000000e-001	1.201778e-005
2.160000000000000e-001	1.296000e-005
2.240000000000000e-001	1.393778e-005
2.320000000000000e-001	1.495111e-005
2.400000000000001e-001	1.600000e-005
2.480000000000001e-001	1.708445e-005
2.560000000000001e-001	1.820445e-005
2.640000000000001e-001	1.936000e-005
2.720000000000001e-001	2.055111e-005
2.800000000000001e-001	2.177778e-005
2.880000000000001e-001	2.304000e-005
2.960000000000001e-001	2.433778e-005
3.040000000000001e-001	2.567111e-005
3.120000000000001e-001	2.704000e-005
3.200000000000001e-001	2.844445e-005
3.280000000000001e-001	2.988445e-005
3.360000000000001e-001	3.136000e-005
3.440000000000001e-001	3.287111e-005
3.520000000000002e-001	3.441778e-005
3.600000000000002e-001	3.600000e-005
3.680000000000002e-001	3.761778e-005
3.760000000000002e-001	3.927111e-005
3.840000000000002e-001	4.096000e-005
3.920000000000002e-001	4.268445e-005
4.000000000000002e-001	4.444444e-005
4.080000000000002e-001	4.624000e-005
4.160000000000002e-001	4.807111e-005
4.240000000000002e-001	4.993778e-005
4.320000000000002e-001	5.184000e-005
4.400000000000002e-001	5.377778e-005
4.480000000000002e-001	5.575111e-005
4.560000000000002e-001	5.776000e-005
4.640000000000003e-001	5.980445e-005
4.720000000000003e-001	6.188445e-005
4.800000000000003e-001	6.400000e-005
4.880000000000003e-001	6.615111e-005
4.960000000000003e-001	6.833778e-005
5.040000000000002e-001	7.056000e-005
5.120000000000002e-001	7.281778e-005
5.200000000000002e-001	7.511111e-005
5.280000000000003e-001	7.744000e-005
5.360000000000003e-001	7.980445e-005
5.440000000000003e-001	8.220445e-005
5.520000000000003e-001	8.464000e-005
5.600000000000003e-001	8.711111e-005
5.680000000000003e-001	8.961778e-005
5.760000000000003e-001	9.216000e-005
5.840000000000003e-001	9.473778e-005
5.920000000000003e-001	9.735111e-005
6.000000000000003e-001	1.000000e-004
6.080000000000003e-001	1.026844e-004
6.160000000000003e-001	1.054044e-004
6.240000000000003e-001	1.081600e-004
6.320000000000003e-001	1.109511e-004
6.400000000000004e-001	1.137778e-004
6.480000000000004e-001	1.166400e-004
6.560000000000004e-001	1.195378e-004
6.640000000000004e-001	1.224711e-004
6.720000000000004e-001	1.254400e-004
6.800000000000004e-001	1.284444e-004
6.880000000000004e-001	1.314844e-004
6.960000000000004e-001	1.345600e-004
7.040000000000004e-001	1.376711e-004
7.120000000000004e-001	1.408178e-004
7.200000000000004e-001	1.440000e-004
7.280000000000004e-001	1.472178e-004
7.360000000000004e-001	1.504711e-004
7.440000000000004e-001	1.537600e-004
7.520000000000005e-001	1.570844e-004
7.600000000000005e-001	1.604444e-004
7.680000000000005e-001	1.638400e-004
7.760000000000005e-001	1.672711e-004
7.840000000000005e-001	1.707378e-004
7.920000000000005e-001	1.742400e-004
8.000000000000005e-001	1.777778e-004
8.080000000000005e-001	1.813511e-004
8.160000000000005e-001	1.849600e-004
8.240000000000005e-001	1.886044e-004
8.320000000000005e-001	1.922845e-004
8.400000000000005e-001	1.960000e-004
8.480000000000005e-001	1.997511e-004
8.560000000000005e-001	2.035378e-004
8.640000000000006e-001	2.073600e-004
8.720000000000006e-001	2.112178e-004
8.800000000000006e-001	2.151111e-004
8.880000000000006e-001	2.190400e-004
8.960000000000006e-001	2.230044e-004
9.040000000000006e-001	2.270000e-004
9.120000000000006e-001	2.310000e-004
9.200000000000006e-001	2.350000e-004
9.280000000000006e-001	2.390000e-004
9.360000000000006e-001	2.430000e-004
9.440000000000006e-001	2.470000e-004
9.520000000000006e-001	2.510000e-004
9.600000000000006e-001	2.550000e-004
9.680000000000006e-001	2.590000e-004
9.760000000000006e-001	2.630000e-004
9.840000000000007e-001	2.670000e-004
