vds	Id(M1)
Step Information: Ln=180n  (Run: 1/5)
0.000000000000000e+000	0.000000e+000
1.500000000000000e-002	5.770833e-006
3.000000000000000e-002	1.141667e-005
4.500000000000000e-002	1.693750e-005
6.000000000000000e-002	2.233333e-005
7.500000000000000e-002	2.760417e-005
9.000000000000000e-002	3.275000e-005
1.050000000000000e-001	3.777083e-005
1.200000000000000e-001	4.266667e-005
1.350000000000000e-001	4.743750e-005
1.500000000000000e-001	5.208333e-005
1.650000000000000e-001	5.660417e-005
1.800000000000001e-001	6.100000e-005
1.950000000000001e-001	6.527083e-005
2.100000000000001e-001	6.941667e-005
2.250000000000001e-001	7.343750e-005
2.400000000000001e-001	7.733333e-005
2.550000000000001e-001	8.110417e-005
2.700000000000001e-001	8.475000e-005
2.850000000000001e-001	8.827083e-005
3.000000000000002e-001	9.166667e-005
3.150000000000002e-001	9.493750e-005
3.300000000000002e-001	9.808334e-005
3.450000000000002e-001	1.011042e-004
3.600000000000002e-001	1.040000e-004
3.750000000000002e-001	1.067708e-004
3.900000000000002e-001	1.094167e-004
4.050000000000003e-001	1.119375e-004
4.200000000000003e-001	1.143333e-004
4.350000000000003e-001	1.166042e-004
4.500000000000003e-001	1.187500e-004
4.650000000000003e-001	1.207708e-004
4.800000000000003e-001	1.226667e-004
4.950000000000003e-001	1.244375e-004
5.100000000000003e-001	1.260833e-004
5.250000000000004e-001	1.276042e-004
5.400000000000004e-001	1.290000e-004
5.550000000000004e-001	1.302708e-004
5.700000000000004e-001	1.314167e-004
5.850000000000004e-001	1.324375e-004
6.000000000000004e-001	1.333333e-004
6.150000000000004e-001	1.341042e-004
6.300000000000005e-001	1.347500e-004
6.450000000000005e-001	1.352708e-004
6.600000000000005e-001	1.356667e-004
6.750000000000005e-001	1.359375e-004
6.900000000000005e-001	1.360833e-004
7.050000000000005e-001	1.361111e-004
7.200000000000005e-001	1.361111e-004
7.350000000000005e-001	1.361111e-004
7.500000000000006e-001	1.361111e-004
7.650000000000006e-001	1.361111e-004
7.800000000000006e-001	1.361111e-004
7.950000000000006e-001	1.361111e-004
8.100000000000006e-001	1.361111e-004
8.250000000000006e-001	1.361111e-004
8.400000000000006e-001	1.361111e-004
8.550000000000007e-001	1.361111e-004
8.700000000000007e-001	1.361111e-004
8.850000000000007e-001	1.361111e-004
9.000000000000007e-001	1.361111e-004
9.150000000000007e-001	1.361111e-004
9.300000000000007e-001	1.361111e-004
9.450000000000007e-001	1.361111e-004
9.600000000000007e-001	1.361111e-004
9.750000000000008e-001	1.361111e-004
9.900000000000008e-001	1.361111e-004
1.005000000000001e+000	1.361111e-004
1.020000000000001e+000	1.361111e-004
